Public_IP,8.8.8.8,Global DNS
Dialer,192.168.120.41,Bharatpe-2061 2063
Dilaer,192.168.120.45,Tide Social Sharada
Dialer,172.15.221.9, Emami Server
General_Server,192.168.120.11,DC
General_Server,192.168.120.21,ADC
General_Server,172.15.210.252,AV SEPM
General_Server,172.15.210.55,AV SEQU_Acko
General_Server,172.15.210.200,AV SEQU_Acko
XPNG-Server,192.168.120.10,HOST-1
XPNG-Server,192.168.120.20,HOST-2
XPNG-Server,172.15.210.212,HOST-3
XPNG-Server,172.15.210.213,HOST-4
Firewall,14.97.208.30,Shophos
LogServer,172.15.210.30,Graylog
ILL,45.64.11.218,GETECH
ILL,14.97.208.30,TATA
Mailserver,mail.ileadsemail.com,Zimbra
Search,google.com,Google

